texto_processado
emocionante
periferia peso
gravissimo
vai lapada
povo ja decidiu
pois tome
poderosos contra cnpj partido liberal
vai lapada
covardia humilhacao igual
paz vai reinar
hoje dia especial
esperanca vencera medo
capital bem estar animal
fatos
nao adianta encher cidade militante pago pra balancar bandeira povo ja provou quer mudanca
todos contra
debate opovo cancelado ausencia
candidato
fugiu
bem vote
candidato povo
vereadoras votadas historia
so churrasqueira
calma candidato
carreata agora messejana
olha nivel desse candidato
deu gente comicio outro lado
candidato toda
finalizando dia campanha assim aqui nao onibus trazendo gente outras cidades nao militante pago servidor terceirizado obrigado participar aqui povo veio graca
pode pegar beco
urgente nao ficara impune
voltamos tudo cuidaaaaaa
vivera tempo paz felicidade
proposta coragem pra mudar
""
pedrada so vai dar
granja portugal
""
bem prometeu ausente
nao montagem
candidato
""
bora afundar urna
ate amarelinhos votam
obrigado agora vamos rumo vitoria
vamos parar
pra tudo mudar vota
faltam apenas dias pra digitar urna devolver povo fortalezense
vamos juntos ja turno
ultimo debate agora globo
""
vem pro
verdade vencera
sabe voce nao consegue ver fim porque povo entendeu hora mandar embora politicos velhos ha anos governam cidade campanha simplesmente maior ja vivenciou campanha povo governo sera governo povo chegou vez obrigado boraaaaaa cnpj partido liberal
so povo
rumo mudanca
parte historia poucos sabem cnpj partido liberal
cresce
caiu cisco olho cnpj partido liberal
rumo vitoria
segue exemplo
conjunto esperanca representou
pra tudo mudar vote
antonio bezerra agoraaaaa
venceremos
""
pra tudo mudar vote
colocado obrigado
uh
bom jardim representou
coragem vencera medo
ja disparou
pra tudo mudar vote
todo mundo
chega velhos politicos
chegou vez povo
coragem pra mudar vote
solzao troando repente
vamos zerar fila
surto cnpj partido liberal
""
nada cnpj partido liberal
menos mes pra vitoria
choras sarto cnpj partido liberal
ano
sera gigante
graca espontaneo cnpj partido liberal
coragem pra mudar vote
libertara desse grupo politico ha anos governa cidade chegou vez povo
tchau sarto ja cnpj partido liberal
tirar sarto cnpj partido liberal
admita cnpj partido liberal
voltinha centro fashion cnpj partido liberal
direito resposta determinacao justica dito pt faccao criminosa
assim bom demais
decepcao
lapada cnpj partido liberal
vota cnpj partido liberal
chegou hora mudar
pega visao cnpj partido liberal
incomodando sistema cnpj partido liberal
geral vota cnpj partido liberal
desmascarando hipocrita
""
ninguem segura cnpj partido liberal
precisa andar pra frente
sobre
pode buzinar cnpj partido liberal
roubo vai acabar
vota vota cnpj partido liberal
cnpj partido liberal
enxugar maquina publica
largada dada cnpj partido liberal
corre vai ja comecar cnpj partido liberal
venceremos cnpj partido liberal
nao jeito cnpj partido liberal
coragem mudar cnpj partido liberal
farra vai acabar cnpj partido liberal
coragem mudar experiencia governar cidade
